rho1,rho3,theta1_final,theta2_final,theta3_final,theta12_ratio_analytical,theta12_ratio_simulation,theta12_ratio_error,theta32_ratio_analytical,theta32_ratio_simulation,theta32_ratio_error,workspace_area,path_length,rmse,max_error,tension_final
2.0,0.25,22.865830571937394,41.542085339235484,90.07784323069171,0.6616435537958658,0.55042568001133,0.11121787378453585,3.1502501678883594,2.1683515041459747,0.9818986637423848,0.0018744064293042268,0.12239196868948841,34.199515925919016,84.95604125888102,57.93337205794932
2.0,0.5,24.88924344315706,45.87872117621653,75.80362916439385,0.6616435537958658,0.5425008109436933,0.11914274285217252,1.5751250839441797,1.6522611620589451,0.07713607811476542,0.0022513954830392425,0.13194584389688446,26.21255370695167,49.23312017593315,62.868088214204086
2.0,0.75,27.853592988358557,52.40607148738619,55.98750304634037,0.6616435537958657,0.5314955347313668,0.1301480190644989,1.0500833892961199,1.0683400120884123,0.018256622792292454,0.0023998546587661205,0.13849194552231714,25.820061349356944,39.86606383877559,70.22297695847647
2.0,1.0,29.71155719038306,56.57351726784537,42.85849512944871,0.6616435537958657,0.5251849032068259,0.13645865058903983,0.7875625419720899,0.7575716907707302,0.029990851201359692,0.0024746292030980873,0.14199319482144773,26.15875002626811,41.422305181012135,74.92257386315954
2.0,1.5,31.625449937542317,60.89627995386384,28.313718372889404,0.6616435537958657,0.5193330358028824,0.14231051799298333,0.5250416946480599,0.4649498851874106,0.06009180946064935,0.002532466046906521,0.1451458847955805,27.048297034093252,46.195528360749584,79.85417221310222
2.0,2.0,32.53851015770082,62.95774437371879,20.867233016960398,0.6616435537958658,0.5168309392495288,0.14481261454633698,0.39378127098604493,0.33144823126273343,0.0623330397233115,0.002549951921136565,0.14627443281218314,27.822840826965095,49.23348626314774,82.2467639643331
2.0,4.0,33.78267613173826,65.75109197587244,10.002802358112643,0.6616435537958659,0.5137964270484651,0.14784712674740086,0.1968906354930225,0.15213134957185503,0.04475928592116746,0.0025583333390430535,0.14726424578038214,29.691410917787135,54.94025970221335,85.55502921186536
4.0,0.25,12.313038202384973,47.13547459937563,90.13330178132907,0.3308217768979329,0.261226566763965,0.06959521013396791,3.1502501678883594,1.9122179748355181,1.2380321930528413,0.0015187771119350825,0.11058005484713562,41.10911538558459,104.45379771475089,64.29511161255556
4.0,0.5,13.062698661536658,50.414846694425634,80.14078934950933,0.33082177689793296,0.25910420278994917,0.0717175741079838,1.57512508394418,1.5896267588644775,0.014501674920297525,0.0018095374185521848,0.11713355474307674,31.701123581124776,64.35566400878622,67.98595573038065
4.0,0.75,14.65418664557311,57.330594942370034,61.0849971535004,0.3308217768979329,0.2556084872362448,0.07521328966168811,1.0500833892961197,1.0654868873226306,0.015403498026510976,0.0018777599542935412,0.12205014795226146,31.022026580320265,53.22978156556374,75.77767226065943
4.0,1.0,15.789057945609319,62.150319512296896,47.33032084583992,0.33082177689793296,0.2540462876057353,0.07677548929219769,0.78756254197209,0.7615458973863404,0.026016644585749593,0.001898202375617504,0.12438232496291415,31.375426274594897,56.76750322205254,81.3061071391842
4.0,1.5,17.040019484100217,67.25497446771101,31.556044977894445,0.3308217768979329,0.2533644480421459,0.07745732885578699,0.5250416946480598,0.4692001629268991,0.05584153172116074,0.0018995713259636017,0.12623591803530368,32.50055166896768,65.16802812903639,87.37948444379231
4.0,2.0,17.66671144615004,69.68849718544472,23.31493733089824,0.3308217768979329,0.25350972053735066,0.07731205636058225,0.393781270986045,0.33455933579477226,0.05922193519127272,0.0018879170450066143,0.12673272312437342,33.56277819230903,70.56707815384465,90.41659782625354
4.0,4.0,18.550828068717237,72.92777298107019,11.178891739357642,0.33082177689793296,0.25437261156366947,0.07644916533426349,0.1968906354930225,0.15328716732182865,0.04360346817119384,0.0018508960405846486,0.12675559651612622,36.29156065080617,80.81559626619823,94.69746494943199
